timestamp,epoch time,delta since last frame,protocol name,source port,packet size
"03:57:45,782,383",1729411065.782383,0,Unknown,41078,26
"03:57:45,837,499",1729411065.837499,0.05511593818664551,Unknown,43661,3
"03:57:45,848,415",1729411065.8484151,0.01091623306274414,Unknown,43259,3
"03:57:45,920,927",1729411065.920927,0.07251191139221191,ICMP,64872,18
"03:57:45,994,253",1729411065.994253,0.07332587242126465,Unknown,43074,3
"03:57:46,025,275",1729411066.025275,0.031022071838378906,ICMP,64872,18
"03:57:46,110,928",1729411066.1109278,0.08565282821655273,Unknown,44559,3
"03:57:46,538,635",1729411066.538635,0.4277071952819824,UDP,29172,14
"03:57:46,736,430",1729411066.7364302,0.19779515266418457,Unknown,41191,62
"03:57:46,922,839",1729411066.922839,0.18640875816345215,ICMP,64872,18
"03:57:47,016,881",1729411067.016881,0.09404206275939941,ICMP,64872,18
"03:57:47,106,742",1729411067.106742,0.08986091613769531,Unknown,41191,62
"03:57:47,117,378",1729411067.117378,0.010636091232299805,Unknown,44166,4
"03:57:47,165,862",1729411067.1658618,0.048483848571777344,Unknown,43071,3
"03:57:47,265,793",1729411067.265793,0.09993124008178711,Unknown,43394,3
"03:57:47,312,911",1729411067.312911,0.04711794853210449,Unknown,44750,3
"03:57:47,572,904",1729411067.572904,0.2599930763244629,ICMP,65041,4
"03:57:47,686,000",1729411067.686,0.11309599876403809,Unknown,41191,62
"03:57:47,788,102",1729411067.7881021,0.10210204124450684,ICMP,64110,3
"03:57:47,861,239",1729411067.861239,0.07313680648803711,Unknown,44114,3
"03:57:47,921,882",1729411067.921882,0.06064295768737793,ICMP,64872,18
"03:57:48,043,338",1729411068.043338,0.12145614624023438,ICMP,64872,18
"03:57:48,062,098",1729411068.062098,0.018759965896606445,Unknown,43129,3
"03:57:48,133,543",1729411068.133543,0.07144498825073242,Unknown,41191,62
"03:57:48,232,031",1729411068.232031,0.09848809242248535,Unknown,44655,3
"03:57:48,234,628",1729411068.234628,0.0025968551635742188,Unknown,41191,62
"03:57:48,281,403",1729411068.2814028,0.046774864196777344,Unknown,44150,3
"03:57:48,287,624",1729411068.287624,0.00622105598449707,Unknown,41078,23
"03:57:48,294,392",1729411068.2943919,0.006767988204956055,Unknown,41191,62
"03:57:48,526,159",1729411068.526159,0.2317671775817871,Unknown,43827,3
"03:57:48,540,600",1729411068.5406,0.01444101333618164,UDP,29172,14
"03:57:48,641,079",1729411068.641079,0.1004788875579834,Unknown,44416,49
"03:57:48,670,585",1729411068.6705852,0.029506206512451172,Unknown,43737,3
"03:57:48,924,298",1729411068.924298,0.25371289253234863,ICMP,64872,18
"03:57:48,948,729",1729411068.948729,0.02443099021911621,Unknown,41191,62
"03:57:49,003,155",1729411069.003155,0.054425954818725586,ICMP,64872,18
"03:57:49,103,899",1729411069.103899,0.10074400901794434,Unknown,41191,62
"03:57:49,336,939",1729411069.3369389,0.23303985595703125,Unknown,43277,3
"03:57:49,337,739",1729411069.337739,0.0008001327514648438,Unknown,65164,0
"03:57:49,375,373",1729411069.375373,0.03763389587402344,Unknown,51382,0
"03:57:49,414,283",1729411069.414283,0.0389101505279541,Unknown,41191,62
"03:57:49,418,504",1729411069.418504,0.0042209625244140625,Unknown,41191,62
"03:57:49,467,685",1729411069.467685,0.04918098449707031,ICMP,61848,14
"03:57:49,668,739",1729411069.668739,0.20105409622192383,ICMP,61848,14
"03:57:49,767,209",1729411069.767209,0.09846997261047363,Unknown,32394,0
"03:57:49,929,765",1729411069.929765,0.16255593299865723,ICMP,64872,18
"03:57:49,971,752",1729411069.971752,0.041986942291259766,ICMP,64030,5
"03:57:50,010,582",1729411070.010582,0.03883004188537598,ICMP,64872,18
"03:57:50,111,952",1729411070.111952,0.10137009620666504,Unknown,41191,62
"03:57:50,377,499",1729411070.377499,0.2655470371246338,UDP,53185,3
