timestamp,epoch time,delta since last frame,protocol name,source port,packet size
"00:26:55,119,416",1729398415.119416,0,UDP,54915,291
"00:26:55,426,280",1729398415.42628,0.30686402320861816,UDP,57621,72
"00:26:55,630,821",1729398415.6308212,0.20454120635986328,UDP,7551,92
"00:26:55,739,411",1729398415.739411,0.10858988761901855,UDP,57872,404
"00:26:56,040,854",1729398416.040854,0.30144286155700684,UDP,7551,92
"00:26:56,040,894",1729398416.040894,4.00543212890625e-05,UDP,54915,291
"00:26:56,245,302",1729398416.245302,0.2044079303741455,UDP,60498,63
"00:26:56,245,991",1729398416.245991,0.0006890296936035156,UDP,4242,340
"00:26:56,347,760",1729398416.34776,0.10176897048950195,UDP,57621,68
"00:26:56,450,164",1729398416.450164,0.10240411758422852,ICMP,64662,6
